Job Title,Skills
Admin Big Data,"hadoop, spark, mapreduce, data lakes, data warehousing, big data architecture, nosql, data modeling, etl, cloud computing, aws, azure, data governance, security"
Ansible Operations Engineer,"ansible, linux, automation, cloud platforms, ci/cd, infrastructure as code, kubernetes, docker, aws, terraform, python, scripting, networking"
Artifactory Administrator,"artifactory, ci/cd, jenkins, docker, maven, gradle, build automation, version control, git, cloud computing, linux, jfrog cli"
Artificial Intelligence / Machine Learning Leader,"ai strategy, machine learning, team management, project management, cloud computing, data science, deep learning, communication, budgeting, stakeholder management"
Artificial Intelligence / Machine Learning Sr.Leader,"ai strategy, machine learning, team management, project management, cloud computing, data science, deep learning, communication, budgeting, stakeholder management, innovation, mentoring"
Artificial intelligence Architect,"ai architecture, machine learning, cloud computing, data science, deep learning, system design, aws, azure, scalability, security, model deployment"
Artificial Intelligence Researcher,"machine learning, deep learning, research methods, python, tensorflow, pytorch, data analysis, statistical analysis, algorithm design, scientific writing"
Big Data Architect,"hadoop, spark, kafka, mapreduce, nosql, data warehousing, cloud computing, aws, azure, data lakes, data modeling, etl, data governance, security"
Big Data Engineer,"hadoop, spark, kafka, sql, nosql, python, java, scala, data pipelines, etl, data warehousing, cloud computing"
Big Data Specialist,"hadoop, spark, data analysis, data visualization, sql, nosql, data modeling, etl, cloud computing, data mining, statistical analysis"
Build and Release Engineer,"ci/cd, jenkins, git, maven, gradle, docker, kubernetes, automation, scripting, linux, build tools"
Build Engineer,"maven, gradle, ant, jenkins, ci/cd, git, build automation, scripting, linux, version control"
Chef Operations Engineer,"chef, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code"
Data Analysts,"sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling"
Data Architect,"data modeling, data warehousing, etl, sql, nosql, data governance, cloud computing, aws, azure, data integration, data security"
DevOps Architect,"cloud computing, aws, azure, google cloud, docker, kubernetes, terraform, ansible, ci/cd, automation, security, networking"
DevOps Engineer,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, scripting, cloud computing"
ELK Engineer,"elasticsearch, logstash, kibana, data visualization, log management, linux, aws, azure, networking, security"
Gerrit Administrator,"gerrit, git, code review, linux, automation, scripting, version control"
Jenkins Engineer,"jenkins, ci/cd, automation, groovy, scripting, linux, docker, kubernetes, build automation, version control"
Jira Administrator,"jira, atlassian suite, agile methodologies, workflow configuration, user management, project management"
Kubernetes Operations Engineer,"kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security"
Machine learning Architect,"machine learning, deep learning, cloud computing, data science, system design, aws, azure, scalability, security, model deployment"
Machine Learning Engineer,"python, machine learning, tensorflow, keras, pytorch, data analysis, deep learning, natural language processing, computer vision, data science, algorithms"
Operations Engineer,"linux, windows server, networking, troubleshooting, scripting, automation, cloud computing, monitoring, system administration"
Principle Engineer in Artificial Intelligence,"ai strategy, machine learning, deep learning, data science, python, tensorflow, cloud computing, system design, mentoring, innovation"
Principle Engineer in Big Data,"big data architecture, hadoop, spark, kafka, data warehousing, cloud computing, data governance, mentoring, innovation"
Principle Engineer in Data Analysis,"data analysis, statistics, sql, python, data visualization, data modeling, mentoring, innovation"
Principle Engineer in Machine Learning,"machine learning, deep learning, python, tensorflow, cloud computing, model deployment, mentoring, innovation"
Production Support Engineer,"troubleshooting, linux, windows server, scripting, networking, databases, monitoring, automation, itil"
Puppet Operations Engineer,"puppet, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code"
Senior Build and Release Engineer,"ci/cd, jenkins, git, maven, gradle, docker, kubernetes, automation, scripting, linux, build tools, leadership, mentoring"
Senior Build Engineer,"maven, gradle, ant, jenkins, ci/cd, git, build automation, scripting, linux, version control, leadership, mentoring"
Senior DevOps Engineer,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, cloud computing, leadership"
Site Reliability Engineer (Kubernetes â Docker),"sre, kubernetes, docker, linux, cloud computing, monitoring, automation, ci/cd, networking, troubleshooting"
Splunk Engineer,"splunk, data analysis, log management, security, dashboards, alerting, scripting, linux, aws, azure"
.NET Developer,".net, c#, asp.net, sql server, web api, mvc, entity framework, linq, git, cloud computing"
ACCESSIBILITY SPECIALIST,"wcag, aria, accessibility testing, assistive technologies, html, css, javascript, ui/ux, ada compliance"
AGILE PROJECT MANAGER,"agile methodologies, scrum, kanban, project management, stakeholder management, communication, jira, confluence"
Android Developer,"android sdk, java, kotlin, ui/ux design, rest apis, sql, android studio, firebase, mobile development"
Ansible Automation Engineer,"ansible, automation, infrastructure as code, cloud computing, aws, azure, linux, python, scripting, networking"
AppDynamics Engineer,"appdynamics, application performance monitoring, troubleshooting, java, .net, cloud computing, metrics, alerting"
Application Security Engineer,"application security, sast, dast, penetration testing, vulnerability management, owasp, secure coding, cloud security"
Artifactory Engineer,"artifactory, ci/cd, jenkins, maven, gradle, docker, build automation, version control, git, cloud computing, linux"
AWS DevOps Engineer,"aws, devops, ci/cd, terraform, ansible, cloudformation, docker, kubernetes, linux, automation, scripting"
AWS Solutions Architect,"aws, cloud architecture, aws lambda, ec2, s3, cloudformation, devops, terraform, security, cloud security, networking"
Azure DevOps Engineer,"azure, devops, ci/cd, terraform, ansible, arm templates, docker, kubernetes, linux, automation, scripting"
Bamboo Engineer,"bamboo, ci/cd, atlassian suite, automation, scripting, build automation, version control, git"
Bitbucket Engineer,"bitbucket, git, version control, ci/cd, atlassian suite, branching strategies, code review"
Blockchain Developer,"blockchain, ethereum, smart contracts, solidity, cryptocurrency, distributed ledger, consensus algorithms, web3, javascript, node.js"
BUSINESS SYSTEMS ANALYST,"business analysis, requirements gathering, process improvement, stakeholder management, sql, data analysis, uml, bpmn"
C# Developer,"c#, .net, asp.net, sql server, web api, mvc, entity framework, linq, git, cloud computing"
Chef InSpec Engineer,"chef inspec, compliance as code, automation, security, configuration management, linux, cloud computing"
Cloud administrator,"cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization"
CLOUD ARCHITECT,"cloud architecture, aws, azure, google cloud, terraform, cloud security, networking, microservices, ci/cd, automation, docker, kubernetes"
Cloud automation engineer,"cloud computing, automation, terraform, ansible, python, scripting, ci/cd, aws, azure, google cloud"
Cloud engineer,"cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization"
Cloud network engineer,"cloud networking, aws, azure, google cloud, vpc, subnets, routing, security groups, firewalls"
Cloud Security Engineer,"cloud security, iam, identity and access management, encryption, aws, azure, gcp, vulnerability management, compliance"
CNC Programmer,"cnc programming, g-code, cad/cam, machining, manufacturing processes, blueprints, toolpath optimization"
Coder,"programming, algorithms, data structures, problem solving, debugging, software development"
COMPUTER GRAPHICS ANIMATOR,"3d animation, 2d animation, motion graphics, adobe creative suite, maya, blender, storyboarding, visual effects"
Computer Hardware Engineer,"hardware design, circuit design, embedded systems, microprocessors, pcb design, testing, validation"
Computer Network Architect,"network design, routing, switching, security, lan/wan, tcp/ip, vpn, firewalls, cloud networking"
Computer Programmer,"programming, algorithms, data structures, debugging, software development, python, java, c++"
Computer Research Scientist,"research methods, data analysis, algorithms, machine learning, publications, scientific writing, programming"
Computer Systems Analyst,"system analysis, requirements gathering, data analysis, process improvement, uml, sql, stakeholder management"
Confluence Engineer,"confluence, atlassian suite, collaboration, documentation, workflow configuration, user management"
Consul Engineer,"consul, service discovery, configuration management, networking, automation, cloud computing"
Coverage.py Engineer,"coverage.py, python, testing, code coverage, quality assurance, ci/cd"
DATA ANALYST,"sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling"
Data Engineer,"sql, etl, data warehousing, python, spark, hadoop, cloud computing, data pipelines, data modeling"
DATA MODELER,"data modeling, sql, data warehousing, database design, er diagrams, data governance"
DATA SCIENTIST,"python, r, machine learning, data science, statistics, sql, hadoop, spark, data wrangling, data visualization, cloud computing"
Database Administrator,"sql, database management, mysql, postgresql, oracle, database design, performance tuning, backup and recovery"
Datadog Engineer,"datadog, monitoring, alerting, metrics, dashboards, cloud computing, linux, troubleshooting"
Developer,"programming, algorithms, data structures, debugging, software development, python, java, c++"
DevOps Architect,"cloud computing, aws, azure, google cloud, docker, kubernetes, terraform, ansible, ci/cd, automation, security, networking"
DevOps Engineer,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, scripting, cloud computing"
DEVOPS MANAGER,"devops, team management, project management, ci/cd, cloud computing, automation, communication, leadership, budgeting"
DevSecOps Architect,"devsecops, cloud security, kubernetes, docker, terraform, ansible, ci/cd, security automation, vulnerability management"
DevSecOps Engineer,"devsecops, kubernetes, docker, cloud security, penetration testing, continuous security, ci/cd, aws, terraform, vulnerability scanning"
Director of Engineering,"team management, project management, software development, agile methodologies, budgeting, communication, leadership"
Docker Engineer,"docker, containerization, kubernetes, ci/cd, linux, cloud computing, automation, networking"
ELK Engineer,"elasticsearch, logstash, kibana, data visualization, log management, linux, aws, azure, networking, security"
Embedded Software Engineer,"embedded c, rtos, microcontrollers, firmware development, hardware design, communication protocols, testing"
Entry Level Developer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Entry Level Network Engineer,"networking, tcp/ip, routing, switching, linux, windows server, troubleshooting"
Entry Level Programmer,"programming, algorithms, data structures, python, java, c++, debugging"
Entry Level Software Developer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Entry Level Software Engineer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Entry Level Web Developer,"html, css, javascript, git, web development fundamentals, ui/ux basics"
Envoy Engineer,"envoy, service mesh, networking, kubernetes, docker, cloud computing, traffic management, security"
Falco Engineer,"falco, security, kubernetes, docker, cloud computing, threat detection, system monitoring"
FluentD Engineer,"fluentd, log management, data collection, data processing, elasticsearch, kibana, cloud computing"
Fortify Engineer,"fortify, static code analysis, security, vulnerability management, software development, java, .net"
FRAMEWORKS SPECIALIST,"react, angular, vue.js, spring framework, django, framework development, javascript, java, python"
Front End Developer,"javascript, html, css, react, angular, vue.js, node.js, typescript, sass, ui/ux design"
Front End Web Developer,"javascript, html, css, react, angular, vue.js, node.js, typescript, sass, ui/ux design"
Full Stack Developer,"javascript, html, css, node.js, react, angular, express.js, mongodb, sql, python, django, devops, ci/cd"
Full Stack JAVA Developer/Programmer/Engineer,"java, spring framework, hibernate, j2ee, sql, rest apis, junit, maven, git, jenkins, cloud computing, microservices, javascript, html, css, react"
Full Stack Python Developer/Programmer/Engineer,"python, django, flask, rest apis, sql, data structures, algorithms, cloud computing, linux, docker, git, javascript, html, css, react"
Game Developer,"unity, c++, game design, game engines, c#, vr development, javascript, unreal engine"
GCP DevOps Engineer,"google cloud, devops, ci/cd, terraform, ansible, docker, kubernetes, linux, automation, scripting"
Gerrit Engineer,"gerrit, git, code review, linux, automation, scripting, version control"
Git Engineer,"git, version control, branching strategies, code review, ci/cd, automation, scripting"
Github Engineer,"github, git, version control, ci/cd, automation, scripting, github actions"
GitLab Engineer,"gitlab, git, version control, ci/cd, automation, scripting, gitlab ci"
Gradle Engineer,"gradle, build automation, java, groovy, ci/cd, version control, git"
Grafana Engineer,"grafana, data visualization, monitoring, alerting, metrics, dashboards, linux, cloud computing"
Groovy Engineer,"groovy, scripting, jenkins, automation, java, build automation"
INFORMATION ARCHITECT,"information architecture, ui/ux design, user research, wireframing, prototyping, content strategy"
Information Security Analyst,"security, network security, firewalls, ids/ips, vulnerability management, penetration testing, security auditing"
INTERACTION DESIGNER,"interaction design, ui/ux design, prototyping, user research, wireframing, usability testing"
IOS Developer,"swift, objective-c, ios sdk, xcode, ui/ux design, rest apis, sql, mobile development"
Istio Engineer,"istio, service mesh, kubernetes, docker, cloud computing, networking, traffic management, security"
IT Manager,"project management, team leadership, agile methodologies, budgeting, it infrastructure, networking, cloud computing, cybersecurity"
JaCoCO Engineer,"jacoco, code coverage, java, testing, quality assurance, ci/cd"
Java Developer,"java, spring framework, hibernate, j2ee, sql, rest apis, junit, maven, git, jenkins, cloud computing, microservices"
JavaScript Developer,"javascript, html, css, react, angular, vue.js, node.js, typescript, sass, ui/ux design"
Jenkins Engineer,"jenkins, ci/cd, automation, groovy, scripting, linux, docker, kubernetes, build automation, version control"
JIRA Engineer,"jira, atlassian suite, agile methodologies, workflow configuration, user management, project management"
Jr Developer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Junior Developer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Junior Front End Developer,"javascript, html, css, react, vue.js, git, ui/ux basics"
Junior IOS Developer,"swift, objective-c, ios sdk, xcode, ui/ux basics, git"
Junior Software Developer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Junior Software Engineer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
Junior Web Developer,"html, css, javascript, git, web development fundamentals, ui/ux basics"
JUnit Engineer,"junit, java, testing, unit testing, test automation, ci/cd"
kubernetes Administrator,"kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security"
Kubernetes Engineer,"kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security"
Machine Learning Engineer,"python, machine learning, tensorflow, keras, pytorch, data analysis, deep learning, natural language processing, computer vision, data science, algorithms"
MAVEN Engineer,"maven, java, build automation, dependency management, ci/cd, version control, git"
Micro services / API Lead Designer,"microservices, api design, rest apis, soa, cloud computing, java, python, security"
MOBILE APP DEVELOPER,"android sdk, java, kotlin, ios, swift, objective-c, react native, flutter, mobile development, ui/ux design"
Mobile Application Developer,"android sdk, java, kotlin, ios, swift, objective-c, react native, flutter, mobile development, ui/ux design"
Mulesoft Developer,"mulesoft, anypoint platform, api development, integration, java, rest apis, soa"
Nagios Engineer,"nagios, monitoring, linux, scripting, alerting, system administration, networking"
Network and Systems Administrator,"networking, linux, windows server, troubleshooting, scripting, automation, system administration"
Network Engineer,"tcp/ip, lan/wan, routing, switching, firewalls, vpn, cisco, security, networking protocols"
New Grad Software Engineer,"javascript, java, python, git, sql, html, css, data structures, algorithms"
New Relic Engineer,"new relic, application performance monitoring, troubleshooting, java, .net, cloud computing, metrics, alerting"
Nexus Engineer,"nexus, artifact repository, maven, gradle, docker, ci/cd, build automation"
Nomad Engineer,"nomad, container orchestration, docker, linux, cloud computing, automation, networking"
Notary Engineer,"notary, security, docker, container security, cryptography, trust management"
Octopus Deploy Engineer,"octopus deploy, deployment automation, ci/cd, .net, powershell, scripting, cloud computing"
OpenShift Engineer,"openshift, kubernetes, docker, linux, cloud computing, ci/cd, automation, security"
OpenStack Engineer,"openstack, cloud computing, virtualization, networking, linux, automation, scripting"
Oracle Developer,"oracle, sql, pl/sql, database design, performance tuning, etl"
Oracle SQL Developer,"oracle sql developer, sql, pl/sql, database development, performance tuning, etl"
Packer Engineer,"packer, infrastructure as code, cloud computing, automation, aws, azure, google cloud"
PHP Developer,"php, mysql, laravel, javascript, css, html, restful apis, symfony, git"
Powershell Engineer,"powershell, scripting, automation, windows server, cloud computing, active directory"
PRODUCT MANAGER,"product management, agile methodologies, user research, roadmap planning, stakeholder management, communication"
Programmer,"programming, algorithms, data structures, debugging, software development, python, java, c++"
Programmer Analyst,"programming, data analysis, requirements gathering, sql, data modeling, process improvement"
Prometheus Engineer,"prometheus, monitoring, alerting, metrics, kubernetes, docker, cloud computing"
Puppet Engineer,"puppet, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code"
PyTest Engineer,"pytest, python, testing, unit testing, test automation, ci/cd"
Python Developer,"python, django, flask, rest apis, sql, data structures, algorithms, cloud computing, linux, docker, git"
QA Engineer,"automation testing, selenium, junit, testng, ci/cd, python, git, jenkins, test automation, agile testing, performance testing"
React Developer,"javascript, react, html, css, node.js, redux, ui/ux design, git"
Robotics Engineer,"robotics, c++, python, ros, embedded systems, control systems, sensors, actuators"
RUBY ON RAILS DEVELOPER,"ruby on rails, ruby, sql, html, css, javascript, rest apis, git"
Salesforce Developer,"salesforce, apex, visualforce, lightning, soql, salesforce administration, rest apis"
Search Engine Optimization,"seo, keyword research, on-page optimization, off-page optimization, content marketing, analytics"
SECURITY SPECIALIST,"security, network security, firewalls, ids/ips, vulnerability management, penetration testing, security auditing"
Selenium Engineer,"selenium, test automation, java, python, webdriver, ci/cd, testing frameworks"
Senior Ansible Development Engineer,"ansible, automation, infrastructure as code, cloud computing, aws, azure, linux, python, scripting, networking, leadership"
Senior Cloud Architect,"cloud architecture, aws, azure, google cloud, microservices, kubernetes, docker, security, leadership"
Senior DevOps Architect,"cloud computing, aws, azure, google cloud, docker, kubernetes, terraform, ansible, ci/cd, automation, security, networking, leadership"
Senior DevOps Engineer,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, cloud computing, leadership"
Senior DevSecOps Architect,"devsecops, cloud security, kubernetes, docker, terraform, ansible, ci/cd, security automation, vulnerability management, leadership"
Senior SRE Architect,"sre, monitoring, kubernetes, docker, cloud platforms, linux, automation, devops, ci/cd, python, networking, leadership"
Senior SRE Engineer,"sre, monitoring, kubernetes, docker, cloud platforms, linux, automation, devops, ci/cd, python, networking, leadership"
Sharepoint Developer,"sharepoint, .net, c#, javascript, powershell, sharepoint framework, rest apis"
Software Developer,"programming, algorithms, data structures, debugging, software development, python, java, c++"
Software Engineer,"java, c++, python, algorithms, data structures, software design, git, jenkins, ci/cd, cloud computing"
SonarQube Engineer,"sonarqube, code quality, static code analysis, java, .net, security, ci/cd"
Splunk Engineer,"splunk, data analysis, log management, security, dashboards, alerting, scripting, linux, aws, azure"
Splunk Enterprise Security Engineer,"splunk enterprise security, security information and event management (siem), threat detection, incident response, security analysis"
SQL Developer,"sql, t-sql, sql server, database design, performance tuning, etl, ssrs, ssis, data modeling"
SRE Architect,"sre, cloud architecture, kubernetes, docker, monitoring, incident management, automation, ci/cd, networking"
SRE Engineer,"sre, monitoring, kubernetes, docker, cloud platforms, linux, automation, devops, ci/cd, python"
SYSTEMS ADMINISTRATOR,"linux administration, windows server administration, networking, troubleshooting, scripting, virtualization"
SYSTEMS ENGINEER,"systems design, linux administration, windows server administration, networking, cloud computing"
TeamCity Engineer,"teamcity, ci/cd, build automation, version control, git"
Tech Sales Engineer,"technical sales, product knowledge, customer engagement, networking technologies"
TECHNICAL ACCOUNT MANAGER,"account management, technical support, customer relationship management (crm), project management"
TECHNICAL LEAD,"team leadership, project management, software development lifecycle (sdlc), agile methodologies"
Terraform Engineer,"terraform, infrastructure as code (iac), aws, azure, google cloud"
TFS Engineer,"tfs (team foundation server), .net development tools, .net framework"
UDeploy Engineer,"udeploy (urbancode deploy), ci/cd, automation, deployment strategies, version control"
UI DESIGNER,"ui design principles, wireframing, prototyping, adobe creative suite, figma, user testing"
UI Developer,"html5, css3, javascript, jquery, responsive design, angularjs, reactjs"
Unity Developer,"unity3d engine, c#, game development principles, 3d modeling, animation"
UX DESIGNER,"user experience design principles, user research, wireframing, prototyping, usability testing, interaction design"
Vault Engineer,"hashicorp vault, secrets management, encryption, access control, cloud security"
Web Designer (UI/UX Designer),"ui/ux design, wireframing, prototyping, adobe creative suite, figma"
Web Developer,"html5, css3, javascript, react, node.js, angularjs, php"
WordPress Developer,"wordpress, php, mysql, html5, css3, javascript"
XL Deploy Engineer,"xl deploy, deployment automation, ci/cd, version control"
Zabbix Engineer,"zabbix, monitoring tools, alerting systems, network monitoring"
ACCESSIBILITY SPECIALIST,"web accessibility guidelines, html, css, javascript, user experience design"
ADMIN BIG DATA,"big data management, hadoop, spark, data warehousing, sql"
AGILE PROJECT MANAGER,"agile methodologies, scrum, kanban, project management tools, leadership"
ANDROID DEVELOPER,"java, kotlin, android sdk, mobile app development, ui/ux design"
